,num,forpet_hash,shop_name,shop_address,address,num,review,score,match
1,5,8aa63cf25e3842284a45ab5d4f603e816dba32c9406b88ecd286325a98d8471e,푸드마스터그룹,"['종로구', '이화동', '191-2']",서울특별시 종로구 이화동 191,1,0,0,match_dong
2,9,8e35f7a0a73e558271ae3dbec0ad40322ed25b73045eb6a24b511d0d08bb550c,반려동물용품사료할인마트,"['서대문구', '홍제동', '279-27']",의정부시 송산1동,1,0,0,not_match
3,12,bd8ce4fe5ec9031f0d986ac8e3091594a104e02d9e1d711cb702856dff9d6ddc,도그스푼,"['서대문구', '홍은동', '36-71']",홍은동 36-70번지 1층 서대문구 서울특별시 KR,1,0,0,match_dong
4,15,57eed23d445ca204e0ab28da0f58b1ef85121c92f469b315defae43ec670f0db,야옹아멍멍해봐성북점,"['성북구', '삼선동5가', '299']",서울특별시 성북구 삼선교로24길 3,0,애견 및 고양이 관련 모든 제품을 손쉽게 구할 수 있어요., 별표 4개 ,m
6,15,57eed23d445ca204e0ab28da0f58b1ef85121c92f469b315defae43ec670f0db,야옹아멍멍해봐성북점,"['성북구', '삼선동5가', '299']",서울특별시 성북구 삼선교로24길 3,1,강아지 모든것이 있어서 좋아요 크로백도 구매했구요, 별표 5개 ,a
8,15,57eed23d445ca204e0ab28da0f58b1ef85121c92f469b315defae43ec670f0db,야옹아멍멍해봐성북점,"['성북구', '삼선동5가', '299']",서울특별시 성북구 삼선교로24길 3,2,처음키우는 강아지라 여러가지로 잘 설명해주시고 친절합니다., 별표 5개 ,t
10,15,57eed23d445ca204e0ab28da0f58b1ef85121c92f469b315defae43ec670f0db,야옹아멍멍해봐성북점,"['성북구', '삼선동5가', '299']",서울특별시 성북구 삼선교로24길 3,3,접객하는 푸들과 장모종 고양이가 있어 정겨운곳. 일부러 갸들보러 가고싶을때도 있슴. 사료 종류도 많고 용품도 다양하게 비치되어 자주 애용함. 사장님과 직원들도 친절한곳., 별표 5개 ,c
12,16,f53e28a28e233499899f56f7c2323b51b13b4745aae71a018efc3a56567f31bb,퍼플네스트,"['중구', '장교동', '73']",더케이트윈타워 2층 퍼플네스트 종로구 서울특별시 KR,0,이곳은 퍼플네스트 본사입니다. 직원분들이 열심히 일하시네요., 별표 5개 ,n
14,87,47287d17516234608c84ad92b69d6a9fc602d3d530d740808f999f833d85f508,제제,"['성동구', '행당동', '134-6']",서울특별시 성동구 성수동1가 668-1 1F 제제,0,"오랜동안 기다리던 동네반점. 아니 주점.

아랫 분과 음식이 겹치네요. 
부추에 끌려서 골랐고 가지, 두부를 좋아해서 어향가지 그리고 쌀쌀한 날이라 밥보다 국물이 있는 걸러 우육면을 골랐습니다. 만두는 확실히 식초+후추에 찍어 먹으면 깔끔합니다.
우육면은 대만보다 진하지 않은데 메뉴 상으로는 광동식 입니다. 맑은 국물 요리가 있으면 좋겠습니다. 조개찜이라던가...
참, 자스민차, 우롱차, 보이차가 아니라 맹물을 주시던데…", 별표 3개 ,m
16,294,1260b7a8fa01eab624bbbf0b400a843c1cbdd6491892283e673a7989e8dc6f49,마이펫글리,"['마포구', '성산동', '252-12']",서울특별시 마포구 성산1동 성미산로1길 5,1,애견호텔 애견놀이방 애견용품점 입니다, 별표 1개 ,a
18,278,ce2cc1025f5e0d0ef34fea3a5ddab7974565cb37d72ebfb9e0b6d82650747f7a,로렌츠,"['서대문구', '남가좌동', '296-13']",서울시 서대문구 수색로 43 복합커뮤니티센터 106호 서대문구 서울특별시 KR,3,너무 친절합니다 :), 별표 5개 ,c
13,16,f53e28a28e233499899f56f7c2323b51b13b4745aae71a018efc3a56567f31bb,퍼플네스트,"['중구', '장교동', '73']",더케이트윈타워 2층 퍼플네스트 종로구 서울특별시 KR,1,, 별표 3개 ,o
15,330,6a75400d736c4c1cfd065f29afb5fb923e3ac494185cba829bb8d64c5017682a,선유도고양이,"['영등포구', '양평동4가', '160-2']",서울특별시 영등포구 양평동4가 선유로 269 약산상가아파트 1층 7호,1,0,0,match_dong
17,278,ce2cc1025f5e0d0ef34fea3a5ddab7974565cb37d72ebfb9e0b6d82650747f7a,로렌츠,"['서대문구', '남가좌동', '296-13']",서울시 서대문구 수색로 43 복합커뮤니티센터 106호 서대문구 서울특별시 KR,2,반려동물과 관련된 모든 것을 만날수있어 좋아요 ! good, 별표 5개 ,t
