,num,forpet_hash,shop_name,shop_address,address,num,review,score,match
1,786,8518f2dc232361594b07fca79167e1338be024420221a5d98711b6f4f49630b7,제리쿡,"['달서구', '성당동', '442-12']",대구광역시 달서구 성당동,0,맥주 안주로도 먹는 강아지 수제간식, 별표 5개 ,m
3,787,4cc9321732bc137d8ce93f6094d7ee84f61209731535b175aa5977239055f64d,펫마트서대구점,"['남구', '대명동', '1116-2']",대구광역시 남구 대명11동 1116-2,0,7주년 행사하신다 하네요. 19년 3월29일까지라고하니 좋은상품 많이많이 사가세요. 전 특가로 나와있는 상품사서 울 애기한테 주었네요~, 별표 5개 ,m
4,787,4cc9321732bc137d8ce93f6094d7ee84f61209731535b175aa5977239055f64d,펫마트서대구점,"['남구', '대명동', '1116-2']",대구광역시 남구 대명11동 1116-2,1,구색이 다양하고 직원분도 친절합니다., 별표 4개 ,a
6,787,4cc9321732bc137d8ce93f6094d7ee84f61209731535b175aa5977239055f64d,펫마트서대구점,"['남구', '대명동', '1116-2']",대구광역시 남구 대명11동 1116-2,2,대로변에 위치해 있어 찾기  좋고 주차하기 편리함, 별표 4개 ,t
8,787,4cc9321732bc137d8ce93f6094d7ee84f61209731535b175aa5977239055f64d,펫마트서대구점,"['남구', '대명동', '1116-2']",대구광역시 남구 대명11동 1116-2,3,"나름대로 퀄리티 좋은 곳입니다.
근처에 이정도 규모의 매장이 없어 갈만합니다.", 별표 5개 ,c
10,798,ec0096a9651a4ab3b5a264f0e6ea216f18090a40bf6db1be5293773f429ca103,클라우드애견카페,"['북구', '동천동', '908-5']",대구광역시 달서구 대곡동 1038-4,0,"친절하고 깨끗하고

냄새안나고

너무좋았어요.", 별표 5개 ,n
12,787,4cc9321732bc137d8ce93f6094d7ee84f61209731535b175aa5977239055f64d,펫마트서대구점,"['남구', '대명동', '1116-2']",대구광역시 남구 대명11동 1116-2,5,서비스가 좋아영 친절, 별표 5개 ,_
14,787,4cc9321732bc137d8ce93f6094d7ee84f61209731535b175aa5977239055f64d,펫마트서대구점,"['남구', '대명동', '1116-2']",대구광역시 남구 대명11동 1116-2,6,"애완동물 관련물품을 사기 좋음 강아지, 고양이, 조류", 별표 5개 ,g
16,787,4cc9321732bc137d8ce93f6094d7ee84f61209731535b175aa5977239055f64d,펫마트서대구점,"['남구', '대명동', '1116-2']",대구광역시 남구 대명11동 1116-2,7,제품이 다양해요... 좀 가격이 좋지만..., 별표 3개 ,u
11,798,ec0096a9651a4ab3b5a264f0e6ea216f18090a40bf6db1be5293773f429ca103,클라우드애견카페,"['북구', '동천동', '908-5']",대구광역시 달서구 대곡동 1038-4,1,사장님도아주좋고환경도깨끗하고맘에들어요, 별표 5개 ,o
