,num,forpet_hash,shop_name,shop_address,address,total_score,review_num,match
1,9,8e35f7a0a73e558271ae3dbec0ad40322ed25b73045eb6a24b511d0d08bb550c,펫마트홍은점애완동물용품점,"['서대문구', '홍제동', '279-27']",서울특별시 서대문구 홍은동 368-7,0,0,x
2,9,8e35f7a0a73e558271ae3dbec0ad40322ed25b73045eb6a24b511d0d08bb550c,산본팻애견용품할인마트애완동물용품점,"['서대문구', '홍제동', '279-27']",경기도 군포시 산본1동 79-69,2.0,1,x
3,13,ad85ca27faea5e1533bdd8873a5a366d237ffd1311f510736f7d0145fa5d0c01,스프링펫애완동물용품점,"['서대문구', '영천동', '330']",서울특별시 마포구 서교동 양화로 189,0,0,x
4,26,ca6a1c73d2b17e07fbb985e022c6fe10fc719b3ee599a4ffa8d34ac8f6162929,강아지카페카페개네,"['성북구', '동소문동7가', '2-18']",동선동1가 2-6번지 3층 성북구 서울특별시 KR,2.5,2,x
5,27,414f0552856b33aad9654dea0de6457225238352e87016901f7caccacd4f9e50,윤신근애견종합백화점애완동물용품점,"['중구', '충무로4가', '90-1']",서울특별시 중구 충무로4가 95-1,4.0,9,x
6,27,414f0552856b33aad9654dea0de6457225238352e87016901f7caccacd4f9e50,윤신근애견종합병원동물병원,"['중구', '충무로4가', '90-1']",서울특별시 중구 필동2가 53,3.8,37,x
7,39,7ecdba38636ecc112cd82d4bd4fe3611b0b8cc5163ceaac62767c75fba593f7a,펫그라운드애견용품아울렛애완동물용품점,"['서대문구', '연희동', '142-5']",서울특별시 도봉구 창동 2층,4.3,7,x
8,43,ffdc8b6382dab8ad78cf5a11189a0bd8d7af0e3aa57616eae8ded8deffb87cb0,펫포레스트,"['성북구', '보문동1가', '208']",경기도 광주시 오포읍 오포안로,5.0,2,x
9,43,ffdc8b6382dab8ad78cf5a11189a0bd8d7af0e3aa57616eae8ded8deffb87cb0,와와펫,"['성북구', '보문동1가', '208']",서울특별시 성북구 정릉동 409-36,0,0,x
10,43,ffdc8b6382dab8ad78cf5a11189a0bd8d7af0e3aa57616eae8ded8deffb87cb0,와와펫애견용품점,"['성북구', '보문동1가', '208']",중곡동 166-11번지 광진구 서울특별시 KR,0,0,x
11,43,ffdc8b6382dab8ad78cf5a11189a0bd8d7af0e3aa57616eae8ded8deffb87cb0,와와펫,"['성북구', '보문동1가', '208']",서울특별시 성북구 석관동 248-24번지 1층,0,0,x
12,43,ffdc8b6382dab8ad78cf5a11189a0bd8d7af0e3aa57616eae8ded8deffb87cb0,좋은나라애견본부애완동물용품점,"['성북구', '보문동1가', '208']",서울특별시 성북구 장위동 173-119,0,0,x
13,43,ffdc8b6382dab8ad78cf5a11189a0bd8d7af0e3aa57616eae8ded8deffb87cb0,가람펫애견용품할인점애완동물용품점,"['성북구', '보문동1가', '208']",경기도 광주시 송정동 58-9,5.0,2,x
14,50,6a7d660a720930b1cb3db0c6b913e37ba65e3e9399986cee51a392a40a9675de,애완동물용품점,"['용산구', '이태원동', '4-4']",서울특별시 용산구 이태원동 4-4,3.8,15,x
15,56,4d9da4515bcaf4e61c1bc76b2568f7520b01748d6b7247be927ad928ce1bbc5c,로얄애견백화점애완동물전문점,"['용산구', '원효로2가', '1-45']",서울특별시 관악구 신림동,0,0,x
16,68,3f15f979809bd4b277d81d6642a7da68a0d4ab606c8eb6b13ae247e262b0dd91,도그버디금호,"['성동구', '금호동3가', '303']",서울특별시 성동구 금호동3가 303,0,0,x
17,78,3b2a5739ad1787be76823c2489012bb71098139dea8d7c92756db4a7b0968726,프랑소와펫,"['용산구', '이촌동', '300-26']",번지 상가 21 동 KR 서울특별시 용산구 이촌동 300-23 한강맨숀아파트 104호,0,0,x
18,80,17835569037560b22880fe48339ff189f065569eb86bcabe3b4bf1cf8cb723ee,배럴즈의류점,"['강남구', '신사동', '520']",서울특별시 강남구 신사동 551-16,4.3,7,x
19,82,8bee7bdf467a3c582a11fc56a2b3ee21a39c9e6c2b04832b09130ab111a299e5,어글어글동물보호서비스,"['강남구', '신사동', '565-13']",서울특별시 강남구 신사동 도산대로25길 38,0,0,x
20,96,43298edcb862f4a188f76f05957c8cfedc61d0df0cba8a661c3d2eddeb453b88,애견천국애완동물전문점,"['강남구', '논현동', '6-21']",서울특별시 강남구 논현동 6-21,0,0,x
21,96,43298edcb862f4a188f76f05957c8cfedc61d0df0cba8a661c3d2eddeb453b88,갤럭시펫애완동물용품점,"['강남구', '논현동', '6-21']",서울특별시 강남구 삼성1동 봉은사로104길 10,4.4,43,x
22,96,43298edcb862f4a188f76f05957c8cfedc61d0df0cba8a661c3d2eddeb453b88,모두펫애완동물전문점,"['강남구', '논현동', '6-21']",서울특별시 송파구 잠실동 204-9,4.7,3,x
23,96,43298edcb862f4a188f76f05957c8cfedc61d0df0cba8a661c3d2eddeb453b88,해피애견타운애완동물전문점,"['강남구', '논현동', '6-21']",서울특별시 송파구 송파동 해피애견타운 1층,4.0,5,x
24,97,7d9a870244299dfe91af9020e3acd48da1cdeb0d26f64c39d96b5aab0f3a8f9e,현대백화점압구정본점백화점,"['강남구', '압구정동', '429']",서울특별시 강남구 압구정동 압구정로 165,4.2,508,x
25,108,471a58aad87b5e4deb5a5c3f62d3139b45796795fb9c17d4b4f75792f6d428aa,가교상사자동차,"['광진구', '자양동', '635-20']",서울특별시 성동구 용답동 238-4,0,0,x
26,108,471a58aad87b5e4deb5a5c3f62d3139b45796795fb9c17d4b4f75792f6d428aa,유드림상사,"['광진구', '자양동', '635-20']",개포동 13-3번지 대청타워 1214호 강남구 서울특별시 KR,0,0,x
27,108,471a58aad87b5e4deb5a5c3f62d3139b45796795fb9c17d4b4f75792f6d428aa,국도상사중고차대리점,"['광진구', '자양동', '635-20']",서울특별시 성동구 용답동 234,0,0,x
28,111,fa76269d146cd37bca099775b387c6e5792b9ffec559fe6a02566f8594530f28,브라더펫,"['광진구', '구의동', '202-5']",구의동 202-5번지 1층 임애빌딩 광진구 서울특별시 KR,0,0,x
29,113,3ca9afe4296e02f9ed087629db3c5b9b834a08ef3769e650d9b576b66687eb11,몰리스펫샵애완동물전문점,"['광진구', '자양동', '227-7']",경기도 고양시 덕양구 창릉동 고양대로 1955 스타필드 고양점,5.0,1,x
30,118,6fe45248213bede193a89efcfdbb72734ca7c81096451cd29b5eef36674e7744,도그버디,"['광진구', '군자동', '65-3']",군자동 65-3번지 1층 광진구 서울특별시 KR,0,0,x
